iter	Passed	Remaining
0	162	162016
1	163	81513
2	164	54817
3	165	41265
4	167	33295
5	168	27895
6	169	23987
7	169	21039
8	171	18848
9	171	17019
10	172	15549
11	173	14308
12	174	13281
13	175	12366
14	176	11573
15	178	10958
16	179	10357
17	182	9947
18	182	9444
19	183	9001
20	185	8628
21	186	8273
22	188	7995
23	188	7682
24	189	7392
25	190	7123
26	190	6882
27	192	6674
28	196	6565
29	196	6364
30	197	6173
31	199	6036
32	200	5871
33	202	5761
34	203	5610
35	204	5473
36	205	5353
37	208	5284
38	210	5176
39	210	5061
40	212	4973
41	215	4907
42	216	4811
43	216	4712
44	217	4616
45	219	4547
46	222	4517
47	223	4433
48	224	4351
49	224	4274
50	226	4211
51	230	4193
52	230	4123
53	231	4054
54	232	3990
55	233	3932
56	234	3886
57	235	3831
58	236	3773
59	237	3717
60	238	3672
61	239	3626
62	240	3580
63	242	3539
64	242	3494
65	243	3446
66	244	3400
67	246	3372
68	247	3344
69	248	3307
70	249	3268
71	250	3230
72	251	3192
73	252	3162
74	253	3130
75	254	3096
76	255	3060
77	255	3025
78	256	2991
79	257	2958
80	257	2925
81	258	2893
82	259	2864
83	259	2835
84	261	2810
85	261	2781
86	262	2754
87	263	2729
88	264	2702
89	264	2676
90	265	2650
91	266	2627
92	266	2603
93	267	2578
94	268	2555
95	269	2533
96	269	2511
97	270	2489
98	271	2467
99	271	2446
100	272	2425
101	273	2405
102	273	2385
103	274	2367
104	275	2347
105	276	2329
106	276	2310
107	277	2291
108	277	2272
109	278	2253
110	279	2235
111	279	2217
112	280	2201
113	281	2188
114	282	2175
115	283	2159
116	283	2142
117	284	2126
118	285	2110
119	285	2094
120	286	2078
121	286	2063
122	287	2049
123	288	2036
124	289	2023
125	290	2011
126	290	1999
127	291	1984
128	291	1971
129	292	1958
130	293	1944
131	294	1933
132	295	1923
133	295	1912
134	296	1902
135	297	1888
136	297	1876
137	298	1864
138	299	1852
139	299	1841
140	300	1829
141	300	1818
142	301	1807
143	302	1797
144	303	1786
145	303	1776
146	304	1766
147	305	1756
148	305	1746
149	306	1736
150	307	1726
151	307	1716
152	308	1706
153	308	1696
154	309	1689
155	310	1681
156	311	1673
157	312	1665
158	313	1656
159	313	1647
160	314	1638
161	315	1629
162	315	1619
163	316	1611
164	316	1604
165	317	1596
166	318	1589
167	319	1581
168	319	1573
169	320	1566
170	321	1557
171	321	1549
172	322	1541
173	323	1533
174	324	1527
175	324	1520
176	325	1514
177	326	1509
178	327	1501
179	328	1494
180	328	1486
181	329	1479
182	329	1471
183	330	1464
184	330	1457
185	331	1452
186	332	1447
187	333	1440
188	334	1433
189	334	1427
190	335	1421
191	336	1415
192	336	1408
193	337	1402
194	338	1396
195	339	1391
196	339	1385
197	340	1379
198	341	1372
199	341	1366
200	342	1360
201	342	1353
202	343	1347
203	343	1341
204	344	1335
205	345	1329
206	345	1325
207	346	1320
208	347	1314
209	347	1308
210	348	1303
211	349	1297
212	349	1292
213	350	1286
214	350	1281
215	351	1275
216	351	1269
217	352	1264
218	353	1260
219	354	1256
220	354	1251
221	355	1246
222	356	1241
223	356	1236
224	357	1231
225	358	1226
226	358	1221
227	359	1216
228	360	1214
229	362	1212
230	362	1207
231	363	1203
232	364	1198
233	364	1193
234	365	1189
235	366	1184
236	366	1181
237	368	1178
238	369	1175
239	369	1170
240	370	1166
241	370	1161
242	371	1157
243	372	1152
244	372	1148
245	373	1143
246	373	1139
247	374	1136
248	375	1133
249	376	1129
250	377	1125
251	377	1121
252	378	1116
253	378	1112
254	379	1108
255	379	1104
256	380	1100
257	381	1097
258	382	1094
259	383	1091
260	383	1087
261	384	1083
262	385	1079
263	385	1075
264	386	1071
265	386	1067
266	387	1063
267	387	1059
268	388	1056
269	389	1053
270	390	1049
271	390	1046
272	391	1042
273	392	1038
274	392	1035
275	393	1031
276	393	1027
277	394	1023
278	394	1020
279	396	1018
280	396	1015
281	397	1011
282	397	1008
283	398	1005
284	399	1002
285	400	999
286	400	995
287	401	992
288	402	989
289	402	985
290	403	983
291	404	980
292	405	977
293	405	974
294	406	970
295	406	967
296	407	964
297	407	960
298	408	957
299	409	954
300	409	951
301	410	949
302	411	946
303	412	943
304	412	940
305	413	937
306	413	934
307	414	930
308	414	927
309	415	924
310	416	921
311	416	918
312	417	917
313	418	915
314	419	912
315	419	909
316	420	906
317	421	903
318	421	900
319	422	897
320	422	894
321	423	891
322	424	888
323	424	886
324	425	884
325	426	882
326	427	879
327	427	876
328	428	874
329	429	871
330	429	868
331	430	866
332	431	863
333	431	861
334	432	859
335	433	857
336	434	854
337	434	851
338	435	848
339	435	846
340	436	843
341	437	840
342	437	838
343	438	835
344	440	835
345	440	833
346	441	830
347	442	828
348	442	825
349	443	823
350	443	820
351	444	818
352	444	815
353	445	812
354	446	811
355	447	809
356	448	807
357	448	804
358	449	802
359	449	799
360	450	797
361	450	794
362	451	792
363	451	789
364	452	787
365	453	785
366	454	783
367	454	781
368	455	778
369	455	776
370	456	774
371	457	771
372	457	769
373	458	767
374	458	764
375	459	762
376	459	760
377	460	758
378	461	756
379	462	754
380	462	752
381	463	749
382	464	747
383	464	745
384	465	743
385	465	740
386	466	738
387	466	736
388	467	734
389	468	732
390	469	731
391	470	729
392	470	726
393	471	724
394	471	722
395	472	720
396	472	718
397	473	716
398	474	714
399	474	712
400	476	711
401	494	735
402	495	733
403	495	731
404	496	729
405	497	727
406	497	725
407	498	723
408	499	721
409	500	719
410	500	717
411	501	715
412	502	713
413	502	711
414	503	709
