iter	Passed	Remaining
0	157	157517
1	158	79119
2	159	52957
3	159	39830
4	160	31953
5	161	26700
6	161	22946
7	162	20132
8	162	17943
9	163	16201
10	164	14768
11	164	13575
12	165	12562
13	166	11697
14	166	10947
15	167	10289
16	167	9708
17	168	9192
18	169	8728
19	169	8312
20	170	7936
21	170	7595
22	171	7287
23	172	7001
24	172	6737
25	173	6493
26	173	6266
27	174	6058
28	175	5862
29	175	5679
30	176	5507
31	176	5347
32	177	5196
33	177	5054
34	178	4921
35	179	4795
36	179	4674
37	180	4561
38	180	4454
39	181	4352
40	181	4255
41	182	4164
42	183	4077
43	183	3994
44	184	3914
45	185	3837
46	185	3766
47	186	3697
48	187	3630
49	187	3566
50	188	3505
51	189	3446
52	189	3387
53	190	3331
54	190	3277
55	191	3224
56	191	3173
57	192	3125
58	193	3080
59	193	3034
60	194	2990
61	194	2947
62	195	2905
63	195	2865
64	196	2826
65	197	2788
66	197	2752
67	198	2716
68	198	2681
69	199	2647
70	199	2614
71	200	2584
72	201	2554
73	201	2524
74	202	2494
75	202	2466
76	203	2437
77	203	2410
78	204	2383
79	204	2357
80	205	2331
81	206	2306
82	206	2279
83	206	2255
84	207	2233
85	208	2211
86	208	2189
87	209	2167
88	209	2147
89	210	2126
90	210	2106
91	211	2087
92	212	2067
93	212	2049
94	213	2030
95	213	2012
96	214	1994
97	214	1977
98	215	1960
99	216	1944
100	216	1928
101	217	1912
102	217	1896
103	218	1881
104	218	1866
105	219	1851
106	220	1836
107	220	1821
108	221	1807
109	221	1793
110	222	1780
111	222	1766
112	223	1754
113	224	1741
114	224	1728
115	225	1715
116	225	1702
117	226	1690
118	226	1678
119	227	1667
120	227	1655
121	228	1643
122	228	1632
123	229	1621
124	230	1610
125	230	1600
126	231	1589
127	231	1579
128	232	1569
129	233	1559
130	233	1549
131	234	1540
132	234	1530
133	235	1520
134	235	1511
135	236	1502
136	237	1493
137	237	1484
138	238	1475
139	238	1466
140	239	1458
141	239	1448
142	240	1439
143	240	1431
144	241	1423
145	241	1415
146	242	1407
147	243	1399
148	243	1392
149	244	1384
150	244	1377
151	245	1369
152	246	1362
153	246	1355
154	247	1348
155	247	1341
156	248	1333
157	248	1326
158	249	1319
159	250	1313
160	250	1305
161	251	1298
162	251	1292
163	252	1285
164	252	1278
165	253	1272
166	253	1266
167	254	1260
168	255	1254
169	255	1247
170	256	1241
171	256	1236
172	257	1231
173	258	1225
174	258	1219
175	259	1214
176	259	1208
177	260	1202
178	261	1197
179	261	1191
180	262	1186
181	262	1181
182	263	1175
183	263	1170
184	264	1165
185	265	1160
186	265	1154
187	266	1149
188	266	1144
189	267	1140
190	268	1135
191	268	1130
192	269	1126
193	269	1121
194	270	1116
195	271	1112
196	271	1108
197	272	1103
198	273	1099
199	273	1094
200	274	1090
201	274	1086
202	275	1081
203	276	1077
204	276	1073
205	277	1068
206	277	1064
207	278	1060
208	279	1056
209	279	1052
210	280	1048
211	280	1044
212	281	1040
213	282	1036
214	282	1032
215	283	1028
216	284	1024
217	284	1021
218	285	1017
219	285	1013
220	286	1009
221	287	1006
222	287	1002
223	288	998
224	288	995
225	289	991
226	290	988
227	290	984
228	291	981
229	292	978
230	292	974
231	293	971
232	294	967
233	294	964
234	295	961
235	295	957
236	296	954
237	297	951
238	297	947
239	298	944
240	298	941
241	299	938
242	300	935
243	300	932
244	301	929
245	302	926
246	302	923
247	303	920
248	304	917
249	304	914
250	305	911
251	306	908
252	306	905
253	307	902
254	307	899
255	308	896
256	309	893
257	309	891
258	310	888
259	311	885
260	311	883
261	312	880
262	313	877
263	313	874
264	314	872
265	314	869
266	315	866
267	316	863
268	316	860
269	317	857
270	317	854
271	318	852
272	318	849
273	319	846
274	320	843
275	320	840
276	321	838
277	321	835
278	322	833
279	322	830
280	323	827
281	324	824
282	324	822
283	325	819
284	325	817
285	326	814
286	326	811
287	327	809
288	327	806
289	328	804
290	329	801
291	329	799
292	330	796
293	330	794
294	331	792
295	331	789
296	332	787
297	333	784
298	333	782
299	334	779
300	334	777
301	335	775
302	335	772
303	336	770
304	337	768
305	337	765
306	338	763
307	338	761
308	339	758
309	339	756
310	340	754
311	340	751
312	341	749
313	342	747
314	342	745
315	343	742
316	343	740
317	344	738
318	344	736
319	345	734
320	346	732
321	346	729
322	347	727
323	347	725
324	348	723
325	348	721
326	349	719
327	350	717
328	350	715
329	351	712
330	351	710
331	352	708
332	352	706
333	353	704
334	353	702
335	354	700
336	355	698
337	355	696
338	356	694
339	356	692
340	357	690
341	357	688
342	358	686
343	358	684
344	359	682
345	359	680
346	360	678
347	361	676
348	361	674
349	362	672
350	362	670
351	363	668
352	363	666
353	364	664
354	364	662
355	365	660
356	365	659
357	366	657
358	367	655
359	367	653
360	368	651
361	368	649
362	369	648
363	369	646
364	370	644
365	371	642
366	371	640
367	372	639
368	372	637
369	373	636
370	374	634
371	374	632
372	375	631
373	376	629
374	376	628
375	377	626
376	378	624
377	378	623
378	379	621
379	380	620
380	380	618
381	381	616
382	381	615
383	382	613
384	383	612
385	384	610
386	384	609
387	385	607
388	385	606
389	386	604
390	387	602
391	387	601
392	388	599
393	388	597
394	389	596
395	389	594
396	390	592
397	390	591
398	391	589
399	392	588
400	392	586
401	393	584
402	393	583
403	394	581
404	394	579
405	395	578
406	395	576
407	396	575
408	396	573
409	397	571
410	398	570
411	398	568
412	399	567
413	399	565
414	400	564
415	400	562
416	401	561
417	402	559
418	402	558
419	403	556
420	403	555
421	404	553
422	404	552
423	405	550
424	406	549
425	406	547
426	407	546
427	407	544
428	408	543
429	408	541
430	409	540
431	409	539
432	410	537
433	411	536
434	411	534
435	412	533
436	412	531
437	413	530
438	413	528
439	414	527
440	415	526
441	415	524
442	416	523
443	416	522
444	417	520
445	418	519
446	418	518
447	419	516
448	419	515
449	420	513
450	421	512
451	421	511
452	422	510
453	422	508
454	423	507
455	424	505
456	424	504
457	425	503
458	425	501
459	426	500
460	426	499
461	427	497
462	428	496
463	428	495
464	429	493
465	429	492
466	430	491
467	431	489
468	431	488
469	432	487
470	432	485
471	433	484
472	433	483
473	434	481
474	434	480
475	435	479
476	435	477
477	436	476
478	436	475
479	437	474
480	438	472
481	438	471
482	439	470
483	439	468
484	440	467
485	441	466
486	441	465
487	442	463
488	442	462
489	443	461
490	444	460
491	444	459
492	445	457
493	445	456
494	446	455
495	447	454
496	447	452
497	448	451
498	448	450
499	449	449
500	449	448
501	450	446
502	451	445
503	451	444
504	452	443
505	452	442
506	453	440
507	453	439
508	454	438
509	455	437
510	455	436
511	456	434
512	456	433
513	457	432
514	457	431
515	458	430
516	459	428
517	459	427
518	460	426
519	460	425
520	461	424
521	461	422
522	462	421
523	462	420
524	463	419
525	464	418
526	464	416
527	465	415
528	465	414
529	466	413
530	466	412
531	467	411
532	468	410
533	468	408
534	469	407
535	469	406
536	470	405
537	470	404
538	471	403
539	471	402
540	472	400
541	473	399
542	473	398
543	474	397
544	474	396
545	475	395
546	476	394
547	476	393
548	477	392
549	478	391
550	478	389
551	479	388
552	479	387
553	480	386
554	480	385
555	481	384
556	481	383
557	482	382
558	483	381
559	483	379
560	484	378
561	484	377
562	485	376
563	485	375
564	486	374
565	486	373
566	487	372
567	488	371
568	488	370
569	489	369
570	489	367
571	490	366
572	490	365
573	491	364
574	492	363
575	492	362
576	493	361
577	493	360
578	494	359
579	494	358
580	495	357
581	495	356
582	496	355
583	497	354
584	497	353
585	498	352
586	498	350
587	499	349
588	499	348
589	500	347
590	501	346
591	501	345
592	502	344
593	502	343
594	503	342
595	504	341
596	504	340
597	505	339
598	505	338
599	506	337
600	507	336
601	507	335
602	508	334
603	508	333
604	509	332
605	510	331
606	510	330
607	511	329
608	511	328
609	512	327
610	513	326
611	513	325
612	514	324
613	514	323
614	515	322
615	516	321
616	516	320
617	517	319
618	517	318
619	518	317
620	519	316
621	520	316
622	520	315
623	521	314
624	522	313
625	522	312
626	523	311
627	523	310
628	524	309
629	525	308
630	525	307
631	526	306
632	526	305
633	527	304
634	528	303
635	528	302
636	529	301
637	529	300
638	530	299
639	531	298
640	531	297
641	532	296
642	532	295
643	533	294
644	533	293
645	534	292
646	535	291
647	535	290
648	536	290
649	536	289
650	537	288
651	537	287
652	538	286
653	539	285
654	539	284
655	540	283
656	540	282
657	541	281
658	542	280
659	542	279
660	543	278
661	543	277
662	544	276
663	545	275
664	545	274
665	546	273
666	546	272
667	547	271
668	547	271
669	548	270
670	549	269
671	549	268
672	550	267
673	550	266
674	551	265
675	552	264
676	552	263
677	553	262
678	553	261
679	554	260
680	554	259
681	555	258
682	556	258
683	556	257
684	557	256
685	557	255
686	558	254
687	559	253
688	559	252
689	560	251
690	560	250
691	561	249
692	562	249
693	562	248
694	563	247
695	563	246
696	564	245
697	565	244
698	565	243
699	566	242
700	566	241
701	567	240
702	568	240
703	568	239
704	569	238
705	569	237
706	570	236
707	571	235
708	571	234
709	572	233
710	573	233
711	574	232
712	575	231
713	575	230
714	576	229
715	577	228
716	578	228
717	579	227
718	580	226
719	581	225
720	581	225
721	582	224
722	583	223
723	584	222
724	585	222
725	586	221
726	587	220
727	588	219
728	588	218
729	589	218
730	590	217
731	591	216
732	591	215
733	592	214
734	593	213
735	593	212
736	594	212
737	594	211
738	595	210
739	596	209
740	596	208
741	597	207
742	598	206
743	598	206
744	599	205
745	600	204
746	601	203
747	601	202
748	602	201
749	603	201
750	604	200
751	604	199
752	605	198
753	606	197
754	606	196
755	607	196
756	607	195
757	608	194
758	609	193
759	609	192
760	610	191
761	611	190
762	611	190
763	612	189
764	613	188
765	613	187
766	614	186
767	615	185
768	615	185
769	616	184
770	617	183
771	617	182
772	618	181
773	619	180
774	619	179
775	620	179
776	621	178
777	621	177
778	622	176
779	623	175
780	623	174
781	624	174
782	624	173
783	625	172
784	626	171
785	626	170
786	627	169
787	628	169
788	628	168
789	629	167
790	630	166
791	630	165
792	631	164
793	631	163
794	632	163
795	633	162
796	633	161
797	634	160
798	635	159
799	636	159
800	636	158
801	637	157
802	637	156
803	638	155
804	639	154
805	639	154
806	640	153
807	641	152
808	641	151
809	642	150
810	643	149
811	643	149
812	644	148
813	645	147
814	646	146
815	646	145
816	647	145
817	648	144
818	648	143
819	649	142
820	650	141
821	650	140
822	651	140
823	652	139
824	652	138
825	653	137
826	654	136
827	655	136
828	655	135
829	656	134
830	657	133
831	658	132
832	658	132
833	659	131
834	660	130
835	661	129
836	661	128
837	662	128
838	663	127
839	663	126
840	664	125
841	665	124
842	665	123
843	666	123
844	667	122
845	667	121
846	668	120
847	669	119
848	669	119
849	670	118
850	671	117
851	671	116
852	672	115
853	673	115
854	673	114
855	674	113
856	675	112
857	676	111
858	676	111
859	677	110
860	678	109
861	679	108
862	679	107
863	680	107
864	681	106
865	681	105
866	682	104
867	683	103
868	684	103
869	684	102
870	685	101
871	686	100
872	686	99
873	687	99
874	688	98
875	689	97
876	689	96
877	690	95
878	691	95
879	691	94
880	692	93
881	693	92
882	694	91
883	694	91
884	695	90
885	696	89
886	696	88
887	697	87
888	698	87
889	698	86
890	699	85
891	700	84
892	700	83
893	701	83
894	702	82
895	703	81
896	703	80
897	704	80
898	705	79
899	705	78
900	706	77
901	707	76
902	708	76
903	708	75
904	709	74
905	710	73
906	710	72
907	711	72
908	712	71
909	712	70
910	713	69
911	714	68
912	714	68
913	715	67
914	716	66
915	716	65
916	717	64
917	718	64
918	719	63
919	719	62
920	720	61
921	721	60
922	721	60
923	722	59
924	723	58
925	723	57
926	724	57
927	725	56
928	726	55
929	726	54
930	727	53
931	728	53
932	728	52
933	729	51
934	730	50
935	730	49
936	731	49
937	733	48
938	734	47
939	735	46
940	735	46
941	736	45
942	737	44
943	738	43
944	738	43
945	739	42
946	740	41
947	741	40
948	742	39
949	742	39
950	743	38
951	744	37
952	744	36
953	745	35
954	746	35
955	747	34
956	747	33
957	748	32
958	749	32
959	749	31
960	750	30
961	751	29
962	751	28
963	752	28
964	753	27
965	753	26
966	754	25
967	755	24
968	755	24
969	756	23
970	757	22
971	757	21
972	758	21
973	759	20
974	759	19
975	760	18
976	761	17
977	762	17
978	763	16
979	764	15
980	765	14
981	766	14
982	769	13
983	770	12
984	772	11
985	773	10
986	773	10
987	775	9
988	776	8
989	779	7
990	781	7
991	782	6
992	783	5
993	784	4
994	785	3
995	786	3
996	787	2
997	789	1
998	790	0
999	791	0
